id,admin_id,action,entity_type,entity_id,old_values,new_values,ip_address,user_agent,created_at
1,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 05:49:15.517589
2,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 05:49:41.02757
3,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 05:50:19.317113
4,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 06:03:42.505037
5,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 06:37:13.020937
6,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 06:37:37.323351
7,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 06:56:59.702938
8,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:00:59.432477
9,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:06:59.771586
10,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:07:38.046757
11,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:11:25.543183
12,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:35:12.151195
13,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:38:31.172061
14,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:39:30.644892
15,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:43:47.719619
16,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""REJECT""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:43:54.172999
17,1,PROCESS_ACTION,TRANSACTION_LOAN,1,,"{""id"": 1, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:48:57.349059
18,1,UPDATE_USER_ACCESS,USER,,,"{""userId"": 1, ""kycStatus"": ""APPROVED""}",127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-15 07:50:06.530588
19,1,PROCESS_ACTION,TRANSACTION_LOAN,4,,"{""id"": 4, ""type"": ""TRANSACTION"", ""action"": ""APPROVE""}",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",2026-02-18 05:51:01.274345
20,1,UPDATE_USER_ACCESS,USER,,,"{""userId"": 1, ""kycStatus"": ""APPROVED""}",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",2026-02-18 07:24:38.661641
